ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm00016,29.1,40.18,POINT (29.1 40.18),AT,NF,57.0,B,0.0,4.2914352,4.2914352,0.77299863
wsm00017,33.69,41.8,POINT (33.69 41.8),EU,NF,87.0,C,0.0,175.07841,4.921585,0.7900578
wsm00025,12.714,56.821,POINT (12.714 56.821),EU,TF,1783.0,B,17.0,16.938217,0.061782837,0.80137783
wsm00026,16.685,57.428,POINT (16.685 57.428),EU,TS,1782.0,B,140.0,142.63655,2.636551,0.8100592
wsm00027,14.758,61.115,POINT (14.758 61.115),EU,TF,1358.0,B,103.0,102.10212,0.89788055,0.7787067
wsm00031,13.678,56.669,POINT (13.678 56.669),EU,TF,1815.0,B,72.0,73.64164,1.6416397,0.77398884
wsm00032,13.679,56.667,POINT (13.679 56.667),EU,TF,1815.0,A,27.999998,21.645193,6.354805,0.74754214
wsm00069,13.12,56.211,POINT (13.12 56.211),EU,NF,1855.0,B,36.0,35.033016,0.9669838,0.79930735
wsm00076,13.12,56.211,POINT (13.12 56.211),EU,TF,1855.0,B,36.999996,35.181644,1.8183517,0.7542902
wsm00083,15.101,59.624,POINT (15.101 59.624),EU,TF,1522.0,B,107.0,111.9994,4.9993973,0.80217123
wsm00180,17.832,60.378,POINT (17.832 60.378),EU,TS,1487.0,A,132.0,136.38347,4.3834686,0.817912
wsm00181,15.101,59.625,POINT (15.101 59.625),EU,TF,1522.0,A,109.0,113.76639,4.766388,0.79986495
wsm00221,26.247,39.162,POINT (26.247 39.162),AS,SS,35.0,B,86.99999,90.050766,3.0507736,0.81933725
wsm00222,23.872,39.15,POINT (23.872 39.15),AS,NF,38.0,C,66.0,78.649414,12.649414,0.84474105
wsm00223,23.867,39.145,POINT (23.867 39.145),AS,NF,38.0,A,70.0,80.334435,10.3344345,0.8420855
wsm00224,25.05,39.525,POINT (25.05 39.525),AS,NF,64.0,C,73.0,79.32305,6.3230515,0.839872
wsm00225,25.325,39.967,POINT (25.325 39.967),AS,NF,22.0,B,80.0,87.72521,7.725212,0.8484963
wsm00226,25.068,39.928,POINT (25.068 39.928),AS,NF,22.0,B,93.00001,94.216965,1.2169571,0.8202482
wsm00227,25.383,40.008,POINT (25.383 40.008),AS,NF,17.0,A,78.0,88.55302,10.553017,0.859807
wsm00228,25.425,40.025,POINT (25.425 40.025),AS,NF,15.0,C,82.0,86.95325,4.953247,0.84776855
wsm00256,25.617,40.867,POINT (25.617 40.867),EU,NF,69.0,C,73.0,81.52917,8.529167,0.7933131
wsm00274,15.39,55.93,POINT (15.39 55.93),EU,SS,1874.0,C,155.0,156.38905,1.3890533,0.8283438
wsm00286,26.185,39.027,POINT (26.185 39.027),AS,NS,47.0,C,92.00001,91.438934,0.5610733,0.87406355
wsm00287,26.185,39.027,POINT (26.185 39.027),AS,SS,47.0,B,92.00001,93.58368,1.5836716,0.84207326
wsm00288,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,B,92.00001,92.250534,0.25052643,0.8825751
wsm00289,26.302,39.38,POINT (26.302 39.38),AS,NF,17.0,A,72.0,87.62143,15.621429,0.79471695
wsm00290,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,A,94.0,93.68226,0.3177414,0.8768852
wsm00291,26.485,39.12,POINT (26.485 39.12),AS,NF,23.0,B,84.0,86.10673,2.1067276,0.82241297
wsm00292,26.563,39.108,POINT (26.563 39.108),AS,NF,22.0,C,74.0,87.03537,13.03537,0.81796205
wsm00293,24.567,40.633,POINT (24.567 40.633),EU,NF,64.0,B,83.0,85.3357,2.335701,0.81146634
wsm00294,24.583,40.625,POINT (24.583 40.625),EU,NF,63.0,B,84.0,85.39638,1.3963776,0.827295
wsm00295,25.492,40.492,POINT (25.492 40.492),EU,NF,38.0,B,84.0,88.535255,4.5352554,0.8203989
wsm00296,25.693,40.43,POINT (25.693 40.43),EU,NF,29.0,B,72.0,89.29465,17.294647,0.84845555
wsm00297,25.675,40.425,POINT (25.675 40.425),EU,NF,30.0,A,86.99999,89.90462,2.904625,0.833553
wsm00298,25.683,40.495,POINT (25.683 40.495),EU,NF,33.0,C,79.0,88.525764,9.525764,0.8432777
wsm00300,25.527,40.477,POINT (25.527 40.477),EU,NF,37.0,C,67.0,90.170395,23.170395,0.8242038
wsm00301,25.545,40.43,POINT (25.545 40.43),EU,NF,32.0,C,84.0,88.50872,4.5087204,0.85281736
wsm00325,25.528,40.433,POINT (25.528 40.433),EU,NF,32.0,B,83.0,88.62285,5.6228485,0.8486018
wsm00379,7.3,61.517,POINT (7.3 61.517),EU,TF,1196.0,B,101.0,99.35531,1.6446915,0.7809168
wsm00395,10.75,59.9,POINT (10.75 59.9),EU,TF,1423.0,C,13.999999,12.3714905,1.6285086,0.8110136
wsm00404,5.852,50.893,POINT (5.852 50.893),EU,NF,1378.0,C,132.0,131.05055,0.94944763,0.8402112
wsm00408,5.97,51.06,POINT (5.97 51.06),EU,NF,1393.0,C,141.0,133.36931,7.6306915,0.8243909
wsm00409,5.903,51.003,POINT (5.903 51.003),EU,NF,1389.0,C,137.0,132.58353,4.4164734,0.83429945
wsm00411,5.84,51.2,POINT (5.84 51.2),EU,SS,1411.0,C,70.0,72.525925,2.5259247,0.7276499
wsm00507,22.028,40.033,POINT (22.028 40.033),EU,NF,148.0,B,72.0,77.56856,5.5685577,0.8129987
wsm00508,22.203,40.04,POINT (22.203 40.04),EU,NF,137.0,B,83.0,86.062256,3.0622559,0.7928927
wsm00509,22.117,40.85,POINT (22.117 40.85),EU,NF,189.0,B,70.0,75.32526,5.3252563,0.79506576
wsm00510,22.127,40.053,POINT (22.127 40.053),EU,NF,143.0,C,103.0,97.10907,5.89093,0.8037636
wsm00511,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,90.0,93.9441,3.9440994,0.80144083
wsm00512,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,34.0,41.94711,7.947109,0.78932106
wsm00513,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,78.0,85.194824,7.194824,0.8201946
wsm00514,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,87.99999,84.8779,3.1220932,0.8093747
wsm00515,23.05,40.683,POINT (23.05 40.683),EU,NF,117.0,B,62.000004,76.28214,14.282139,0.7859127
wsm00517,23.333,40.667,POINT (23.333 40.667),EU,NF,101.0,A,97.0,95.46828,1.531723,0.8087256
wsm00518,23.333,40.667,POINT (23.333 40.667),EU,NF,101.0,A,74.0,87.76676,13.766762,0.798498
wsm00520,25.917,40.917,POINT (25.917 40.917),EU,NF,66.0,A,84.0,89.4552,5.4552,0.81830525
wsm00521,26.057,40.877,POINT (26.057 40.877),EU,NF,58.0,A,83.0,90.46319,7.463188,0.8076293
wsm00655,22.69,61.65,POINT (22.69 61.65),EU,TF,1436.0,B,153.0,155.69351,2.693512,0.8052263
wsm00658,25.02,60.23,POINT (25.02 60.23),EU,TF,1628.0,C,141.0,145.27063,4.27063,0.8078082
wsm00690,9.513,50.2,POINT (9.513 50.2),EU,NF,1245.0,C,152.0,154.01324,2.0132446,0.8050079
wsm00694,7.753,48.149,POINT (7.753 48.149),EU,SS,1046.0,C,74.0,76.03286,2.0328598,0.75987434
wsm00705,7.94,50.07,POINT (7.94 50.07),EU,TF,1249.0,C,137.0,141.88676,4.8867645,0.8016201
wsm00706,6.69,50.65,POINT (6.69 50.65),EU,NF,1334.0,C,38.0,35.102486,2.8975143,0.66435295
wsm00707,7.97,50.26,POINT (7.97 50.26),EU,TF,1269.0,C,163.0,162.5466,0.45339966,0.8221122
wsm00712,7.99,50.68,POINT (7.99 50.68),EU,NS,1315.0,C,118.0,123.292656,5.292656,0.79811674
wsm00715,7.7,50.18,POINT (7.7 50.18),EU,NF,1265.0,C,129.0,133.83737,4.837372,0.80907947
wsm00717,8.3,50.04,POINT (8.3 50.04),EU,NF,1241.0,C,148.0,144.84554,3.1544647,0.8170254
wsm00721,7.21,50.53,POINT (7.21 50.53),EU,NF,1311.0,C,162.0,157.32626,4.6737366,0.81963855
wsm00723,6.78,50.96,POINT (6.78 50.96),EU,NF,1365.0,C,25.999998,22.025356,3.9746418,0.71861356
wsm00754,5.51,50.85,POINT (5.51 50.85),EU,NF,1382.0,C,86.0,96.03809,10.038094,0.75472283
wsm00755,6.1,50.43,POINT (6.1 50.43),EU,NF,1324.0,C,132.0,131.5058,0.49420166,0.81222343
wsm00759,13.649,46.63,POINT (13.649 46.63),EU,TF,860.0,C,158.0,163.58765,5.5876465,0.78724295
wsm00761,15.167,47.283,POINT (15.167 47.283),EU,SS,930.0,C,149.0,154.62506,5.625061,0.8281901
wsm00765,14.69,47.193,POINT (14.69 47.193),EU,SS,931.0,B,6.9999995,12.598074,5.5980744,0.7986592
wsm00770,5.926,50.813,POINT (5.926 50.813),EU,SS,1368.0,C,131.0,133.53207,2.532074,0.8245516
wsm00774,5.513,50.632,POINT (5.513 50.632),EU,SS,1359.0,C,122.0,127.93237,5.932373,0.79990834
wsm00802,18.11,47.06,POINT (18.11 47.06),EU,SS,878.0,B,73.0,65.16576,7.834244,0.7867319
wsm01356,9.2,34.6,POINT (9.2 34.6),AF,TS,330.0,C,164.0,165.45201,1.4520111,0.8208902
wsm01357,10.65,35.7,POINT (10.65 35.7),AF,TF,290.0,C,143.0,147.94211,4.942108,0.8144268
wsm01358,9.8,35.55,POINT (9.8 35.55),AF,TS,254.0,C,103.0,97.41289,5.5871124,0.77029294
wsm01556,10.85,34.0,POINT (10.85 34),AF,TS,451.0,C,150.0,153.9795,3.9795074,0.8152198
