ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm00016,29.1,40.18,POINT (29.1 40.18),AT,NF,57.0,B,0.0,4.2914367,4.2914367,0.7280824
wsm00017,33.69,41.8,POINT (33.69 41.8),EU,NF,87.0,C,0.0,175.08134,4.9186554,0.7967638
wsm00025,12.714,56.821,POINT (12.714 56.821),EU,TF,1783.0,B,17.0,16.938208,0.061792374,0.7998299
wsm00026,16.685,57.428,POINT (16.685 57.428),EU,TS,1782.0,B,140.0,142.63655,2.636551,0.80092925
wsm00027,14.758,61.115,POINT (14.758 61.115),EU,TF,1358.0,B,103.0,102.102135,0.8978653,0.79213035
wsm00031,13.678,56.669,POINT (13.678 56.669),EU,TF,1815.0,B,72.0,73.64166,1.6416626,0.7855109
wsm00032,13.679,56.667,POINT (13.679 56.667),EU,TF,1815.0,A,27.999998,21.645098,6.3549004,0.75821126
wsm00069,13.12,56.211,POINT (13.12 56.211),EU,NF,1855.0,B,36.0,35.03311,0.9668884,0.76783925
wsm00076,13.12,56.211,POINT (13.12 56.211),EU,TF,1855.0,B,36.999996,35.181755,1.8182411,0.71540844
wsm00083,15.101,59.624,POINT (15.101 59.624),EU,TF,1522.0,B,107.0,111.9994,4.9993973,0.7685864
wsm00180,17.832,60.378,POINT (17.832 60.378),EU,TS,1487.0,A,132.0,136.38347,4.3834686,0.82275915
wsm00181,15.101,59.625,POINT (15.101 59.625),EU,TF,1522.0,A,109.0,113.76639,4.766388,0.7566565
wsm00221,26.247,39.162,POINT (26.247 39.162),AS,SS,35.0,B,86.99999,90.092606,3.0926132,0.8105922
wsm00222,23.872,39.15,POINT (23.872 39.15),AS,NF,38.0,C,66.0,78.64183,12.64183,0.8409929
wsm00223,23.867,39.145,POINT (23.867 39.145),AS,NF,38.0,A,70.0,80.32427,10.324272,0.8379156
wsm00224,25.05,39.525,POINT (25.05 39.525),AS,NF,64.0,C,73.0,79.326645,6.326645,0.83622193
wsm00225,25.325,39.967,POINT (25.325 39.967),AS,NF,22.0,B,80.0,87.69713,7.6971283,0.8446008
wsm00226,25.068,39.928,POINT (25.068 39.928),AS,NF,22.0,B,93.00001,94.21861,1.218605,0.8243333
wsm00227,25.383,40.008,POINT (25.383 40.008),AS,NF,17.0,A,78.0,88.52436,10.524361,0.86493164
wsm00228,25.425,40.025,POINT (25.425 40.025),AS,NF,15.0,C,82.0,86.92798,4.9279785,0.8580065
wsm00256,25.617,40.867,POINT (25.617 40.867),EU,NF,69.0,C,73.0,81.473145,8.473145,0.78888303
wsm00274,15.39,55.93,POINT (15.39 55.93),EU,SS,1874.0,C,155.0,156.38905,1.3890533,0.828048
wsm00286,26.185,39.027,POINT (26.185 39.027),AS,NS,47.0,C,92.00001,91.46146,0.53855133,0.87279534
