ID,LON,LAT,QUALITY,PLATE,DIST,AZI,AZI_PRED,ABS_ERROR_DEG
wsm00016,29.1,40.18,B,AT,57.0,0.0,0.0,0.0
wsm00017,33.69,41.8,C,EU,87.0,0.0,0.0,0.0
wsm00025,12.714,56.821,B,EU,1783.0,17.00000022753652,17.0,2.2753652118012724e-07
wsm00026,16.685,57.428,B,EU,1782.0,140.0000001415528,140.0,1.4155278904581792e-07
wsm00031,13.678,56.669,B,EU,1815.0,72.00000033067509,72.0,3.3067509264128603e-07
wsm00032,13.679,56.667,A,EU,1815.0,27.999999772463482,27.999998,1.6798121151850864e-06
wsm00069,13.12,56.211,B,EU,1855.0,35.999999986338565,36.0,1.3661434650202864e-08
wsm00076,13.12,56.211,B,EU,1855.0,36.99999987857104,36.999996,3.6932683045165504e-06
wsm00221,26.247,39.162,B,AS,35.0,87.00000002991625,86.99999,7.659310782059947e-06
wsm00222,23.872,39.15,C,AS,38.0,66.0000006543936,66.0,6.543936024172581e-07
wsm00223,23.867,39.145,A,AS,38.0,69.99999934094342,70.0,6.590565817532479e-07
wsm00224,25.05,39.525,C,AS,64.0,72.99999977246348,73.0,2.2753651762741356e-07
wsm00225,25.325,39.967,B,AS,22.0,79.99999967030344,80.0,3.2969656160730665e-07
wsm00226,25.068,39.928,B,AS,22.0,92.99999997008375,93.00001,7.659310782059947e-06
wsm00227,25.383,40.008,A,AS,17.0,77.99999969944032,78.0,3.005596767025054e-07
wsm00228,25.425,40.025,C,AS,15.0,81.99999987857105,82.0,1.2142895400302223e-07
wsm00256,25.617,40.867,C,EU,69.0,72.99999977246348,73.0,2.2753651762741356e-07
wsm00274,15.39,55.93,C,EU,1874.0,155.00000065905658,155.0,6.590565817532479e-07
wsm00286,26.185,39.027,C,AS,47.0,91.99999985654553,92.00001,7.772849002662952e-06
wsm00287,26.185,39.027,B,AS,47.0,91.99999985654553,92.00001,7.772849002662952e-06
wsm00288,26.185,39.027,B,AS,47.0,91.99999985654553,92.00001,7.772849002662952e-06
wsm00289,26.302,39.38,A,AS,17.0,72.00000033067509,72.0,3.3067509264128603e-07
wsm00290,26.185,39.027,A,AS,47.0,94.00000019304281,94.0,1.9304280840515275e-07
wsm00291,26.485,39.12,B,AS,23.0,84.00000030999979,84.0,3.099997911704122e-07
wsm00292,26.563,39.108,C,AS,22.0,73.99999986078107,74.0,1.3921892616508558e-07
wsm00293,24.567,40.633,B,EU,64.0,82.99999983712034,83.0,1.6287965820538375e-07
wsm00294,24.583,40.625,B,EU,63.0,84.00000030999979,84.0,3.099997911704122e-07
wsm00295,25.492,40.492,B,EU,38.0,84.00000030999979,84.0,3.099997911704122e-07
wsm00296,25.693,40.43,B,EU,29.0,72.00000033067509,72.0,3.3067509264128603e-07
wsm00297,25.675,40.425,A,EU,30.0,87.00000002991625,86.99999,7.659310782059947e-06
wsm00298,25.683,40.495,C,EU,33.0,79.00000049658536,79.0,4.965853577232338e-07
wsm00300,25.527,40.477,C,EU,37.0,67.00000082683971,67.0,8.268397095889668e-07
wsm00301,25.545,40.43,C,EU,32.0,84.00000030999979,84.0,3.099997911704122e-07
wsm00325,25.528,40.433,B,EU,32.0,82.99999983712034,83.0,1.6287965820538375e-07
wsm00404,5.852,50.893,C,EU,1378.0,132.00000002991624,132.0,2.991623659909237e-08
wsm00408,5.97,51.06,C,EU,1393.0,140.9999996900002,141.0,3.099997911704122e-07
wsm00409,5.903,51.003,C,EU,1389.0,136.99999985654554,137.0,1.4345445720209682e-07
wsm00411,5.84,51.2,C,EU,1411.0,69.99999934094342,70.0,6.590565817532479e-07
wsm00507,22.028,40.033,B,EU,148.0,72.00000033067509,72.0,3.3067509264128603e-07
wsm00508,22.203,40.04,B,EU,137.0,82.99999983712034,83.0,1.6287965820538375e-07
wsm00509,22.117,40.85,B,EU,189.0,69.99999934094342,70.0,6.590565817532479e-07
