ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,87.45402,2.4540253
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,120.481995,3.4819946
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,168.46748,0.5325165
wsm103605,14.74,44.91,POINT (14.74 44.91),EU,SS,684.0,C,179.0,179.56447,0.5644684
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,125.66954,5.6695404
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,152.78485,1.2151489
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,132.53445,3.5344543
wsm108552,15.85,42.07,POINT (15.85 42.07),EU,TS,368.0,C,124.0,124.850266,0.8502655
wsm112192,10.3,44.51,POINT (10.3 44.51),EU,TF,609.0,C,20.0,15.992293,4.0077066
wsm112201,10.23,44.5,POINT (10.23 44.5),EU,TF,609.0,C,24.999998,21.506445,3.4935532
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,151.87051,0.8705139
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,7.0552526,4.9447474
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,173.86768,0.8676758
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,137.0746,3.0746002
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,147.52942,0.52941895
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,154.06377,1.0637665
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,140.65424,1.6542358
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,166.75107,1.7510681
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,146.41507,0.41506958
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,143.83357,0.8335724
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,136.71465,3.7146454
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,123.86554,3.8655396
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,141.64412,1.6441193
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,143.91353,0.91352844
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,111.32105,3.3210526
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,161.9778,2.9777985
wsm113540,13.19,42.37,POINT (13.19 42.37),EU,NF,393.0,C,134.0,137.21004,3.2100372
wsm113545,13.24,42.49,POINT (13.24 42.49),EU,NF,407.0,C,133.0,136.58133,3.5813293
wsm113549,13.42,42.47,POINT (13.42 42.47),EU,NF,410.0,C,111.00001,114.886215,3.8862076
wsm113586,13.21,42.52,POINT (13.21 42.52),EU,NF,409.0,C,138.0,140.24414,2.2441406
wsm113597,13.29,42.53,POINT (13.29 42.53),EU,NF,413.0,C,146.0,146.37442,0.37442017
wsm113627,13.31,42.51,POINT (13.31 42.51),EU,NF,411.0,C,144.0,144.70311,0.70310974
wsm113754,13.49,42.25,POINT (13.49 42.25),EU,NF,389.0,C,145.0,145.47452,0.47451782
wsm113759,13.48,42.23,POINT (13.48 42.23),EU,NF,386.0,C,153.0,153.82893,0.8289337
wsm114500,13.36,42.45,POINT (13.36 42.45),EU,NF,406.0,C,134.0,137.36069,3.3606873
wsm114745,13.38,42.34,POINT (13.38 42.34),EU,NF,395.0,C,151.0,151.82141,0.82141113
wsm115656,13.41,43.47,POINT (13.41 43.47),EU,SS,515.0,C,154.0,154.24513,0.24513245
wsm117151,13.38,43.11,POINT (13.38 43.11),EU,NS,476.0,C,97.0,97.888824,0.88882446
wsm118506,12.44,43.56,POINT (12.44 43.56),EU,NF,507.0,C,113.0,118.2133,5.2133026
wsm120224,12.61,42.81,POINT (12.61 42.81),EU,NF,428.0,C,176.0,176.40431,0.40431213
wsm120299,12.11,44.36,POINT (12.11 44.36),EU,TF,591.0,C,86.0,91.10234,5.1023407
wsm120877,12.37,44.14,POINT (12.37 44.14),EU,SS,570.0,C,148.0,148.25285,0.2528534
wsm128220,12.03,43.86,POINT (12.03 43.86),EU,NF,535.0,C,115.0,120.69595,5.6959534
wsm129876,11.86,43.92,POINT (11.86 43.92),EU,NF,541.0,C,123.0,128.3593,5.3592987
wsm129877,11.85,43.92,POINT (11.85 43.92),EU,NF,540.0,C,119.0,124.90279,5.9027863
wsm129896,11.86,43.93,POINT (11.86 43.93),EU,NF,542.0,C,122.0,127.5822,5.582199
wsm134393,10.36,44.82,POINT (10.36 44.82),EU,NF,643.0,C,93.00001,97.580795,4.5807877
wsm135516,13.2,42.81,POINT (13.2 42.81),EU,NF,440.0,C,124.0,128.35466,4.35466
wsm136940,11.26,44.9,POINT (11.26 44.9),EU,TF,648.0,C,10.999999,5.77225,5.227749
wsm136948,11.44,44.89,POINT (11.44 44.89),EU,TF,647.0,C,19.0,15.315957,3.684043
wsm136951,11.32,44.95,POINT (11.32 44.95),EU,TF,654.0,C,35.0,31.042675,3.957325
wsm136970,11.49,44.81,POINT (11.49 44.81),EU,TF,638.0,C,27.0,22.947666,4.052334
wsm137168,11.15,44.92,POINT (11.15 44.92),EU,TF,650.0,C,13.999999,8.897019,5.1029797
wsm137172,11.02,44.9,POINT (11.02 44.9),EU,TF,649.0,C,17.0,12.545135,4.4548655
