ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm00016,29.1,40.18,POINT (29.1 40.18),AT,NF,57.0,B,0.0,178.32274,1.6772614,0.6871505
wsm00017,33.69,41.8,POINT (33.69 41.8),EU,NF,87.0,C,0.0,171.07356,8.926437,0.76256895
wsm00025,12.714,56.821,POINT (12.714 56.821),EU,TF,1783.0,B,17.0,15.755477,1.244523,0.7088107
wsm00026,16.685,57.428,POINT (16.685 57.428),EU,TS,1782.0,B,140.0,141.40825,1.4082489,0.7987793
wsm00027,14.758,61.115,POINT (14.758 61.115),EU,TF,1358.0,B,103.0,98.34566,4.6543427,0.7829506
wsm00031,13.678,56.669,POINT (13.678 56.669),EU,TF,1815.0,B,72.0,72.653946,0.6539459,0.7319671
wsm00032,13.679,56.667,POINT (13.679 56.667),EU,TF,1815.0,A,27.999998,23.866552,4.1334457,0.71141595
wsm00069,13.12,56.211,POINT (13.12 56.211),EU,NF,1855.0,B,36.0,23.728565,12.271435,0.68455803
wsm00076,13.12,56.211,POINT (13.12 56.211),EU,TF,1855.0,B,36.999996,29.140537,7.859459,0.7809626
wsm00083,15.101,59.624,POINT (15.101 59.624),EU,TF,1522.0,B,107.0,110.46043,3.4604263,0.75936896
wsm00180,17.832,60.378,POINT (17.832 60.378),EU,TS,1487.0,A,132.0,133.11058,1.1105804,0.771184
wsm00181,15.101,59.625,POINT (15.101 59.625),EU,TF,1522.0,A,109.0,105.98692,3.0130768,0.7520414
wsm00221,26.247,39.162,POINT (26.247 39.162),AS,SS,35.0,B,86.99999,92.429695,5.4297028,0.85335994
wsm00222,23.872,39.15,POINT (23.872 39.15),AS,NF,38.0,C,66.0,84.31976,18.319763,0.8365302
wsm00223,23.867,39.145,POINT (23.867 39.145),AS,NF,38.0,A,70.0,78.15399,8.153992,0.8202039
wsm00224,25.05,39.525,POINT (25.05 39.525),AS,NF,64.0,C,73.0,87.96763,14.9676285,0.774346
wsm00225,25.325,39.967,POINT (25.325 39.967),AS,NF,22.0,B,80.0,92.44491,12.444908,0.83815265
wsm00226,25.068,39.928,POINT (25.068 39.928),AS,NF,22.0,B,93.00001,92.326584,0.67342377,0.84422797
wsm00227,25.383,40.008,POINT (25.383 40.008),AS,NF,17.0,A,78.0,90.670746,12.670746,0.82230264
wsm00228,25.425,40.025,POINT (25.425 40.025),AS,NF,15.0,C,82.0,95.320625,13.320625,0.86308146
wsm00256,25.617,40.867,POINT (25.617 40.867),EU,NF,69.0,C,73.0,93.30485,20.304848,0.8310718
wsm00274,15.39,55.93,POINT (15.39 55.93),EU,SS,1874.0,C,155.0,160.10403,5.1040344,0.7932774
wsm00286,26.185,39.027,POINT (26.185 39.027),AS,NS,47.0,C,92.00001,92.11435,0.114341736,0.89295465
wsm00287,26.185,39.027,POINT (26.185 39.027),AS,SS,47.0,B,92.00001,90.625885,1.3741226,0.8721319
wsm00288,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,B,92.00001,91.800705,0.19930267,0.8909668
wsm00289,26.302,39.38,POINT (26.302 39.38),AS,NF,17.0,A,72.0,91.74819,19.748192,0.76413924
wsm00290,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,A,94.0,91.09598,2.9040222,0.8870536
wsm00291,26.485,39.12,POINT (26.485 39.12),AS,NF,23.0,B,84.0,91.492195,7.492195,0.8373604
wsm00292,26.563,39.108,POINT (26.563 39.108),AS,NF,22.0,C,74.0,95.012856,21.012856,0.712088
wsm00293,24.567,40.633,POINT (24.567 40.633),EU,NF,64.0,B,83.0,96.637375,13.637375,0.789197
wsm00294,24.583,40.625,POINT (24.583 40.625),EU,NF,63.0,B,84.0,96.68028,12.680283,0.7895689
wsm00295,25.492,40.492,POINT (25.492 40.492),EU,NF,38.0,B,84.0,87.99452,3.994522,0.840502
wsm00296,25.693,40.43,POINT (25.693 40.43),EU,NF,29.0,B,72.0,88.2966,16.2966,0.8430901
