ID,LON,LAT,DEPTH,DIST,PLATE,QUALITY,REGIME_1,AZI,geometry
wsm00016,29.1,40.18,0.17,57.0,AT,B,NF,0.0,POINT (29.1 40.18)
wsm00017,33.69,41.8,0.16,87.0,EU,C,NF,0.0,POINT (33.69 41.8)
wsm00025,12.714,56.821,0.15,1783.0,EU,B,TF,17.0,POINT (12.714 56.821)
wsm00026,16.685,57.428,0.5,1782.0,EU,B,TS,140.0,POINT (16.685 57.428)
wsm00031,13.678,56.669,0.1,1815.0,EU,B,TF,72.0,POINT (13.678 56.669)
wsm00032,13.679,56.667,0.1,1815.0,EU,A,TF,28.0,POINT (13.679 56.667)
wsm00069,13.12,56.211,0.1,1855.0,EU,B,NF,36.0,POINT (13.12 56.211)
wsm00076,13.12,56.211,0.1,1855.0,EU,B,TF,37.0,POINT (13.12 56.211)
wsm00221,26.247,39.162,0.0,35.0,AS,B,SS,87.0,POINT (26.247 39.162)
wsm00222,23.872,39.15,0.0,38.0,AS,C,NF,66.0,POINT (23.872 39.15)
wsm00223,23.867,39.145,0.0,38.0,AS,A,NF,70.0,POINT (23.867 39.145)
wsm00224,25.05,39.525,0.0,64.0,AS,C,NF,73.0,POINT (25.05 39.525)
wsm00225,25.325,39.967,0.0,22.0,AS,B,NF,80.0,POINT (25.325 39.967)
wsm00226,25.068,39.928,0.0,22.0,AS,B,NF,93.0,POINT (25.068 39.928)
wsm00227,25.383,40.008,0.0,17.0,AS,A,NF,78.0,POINT (25.383 40.008)
wsm00228,25.425,40.025,0.0,15.0,AS,C,NF,82.0,POINT (25.425 40.025)
wsm00256,25.617,40.867,0.0,69.0,EU,C,NF,73.0,POINT (25.617 40.867)
wsm00274,15.39,55.93,17.1,1874.0,EU,C,SS,155.0,POINT (15.39 55.93)
wsm00286,26.185,39.027,0.0,47.0,AS,C,NS,92.0,POINT (26.185 39.027)
wsm00287,26.185,39.027,0.0,47.0,AS,B,SS,92.0,POINT (26.185 39.027)
wsm00288,26.185,39.027,0.0,47.0,AS,B,NF,92.0,POINT (26.185 39.027)
wsm00289,26.302,39.38,0.0,17.0,AS,A,NF,72.0,POINT (26.302 39.38)
wsm00290,26.185,39.027,0.0,47.0,AS,A,NF,94.0,POINT (26.185 39.027)
wsm00291,26.485,39.12,0.0,23.0,AS,B,NF,84.0,POINT (26.485 39.12)
wsm00292,26.563,39.108,0.0,22.0,AS,C,NF,74.0,POINT (26.563 39.108)
wsm00293,24.567,40.633,0.0,64.0,EU,B,NF,83.0,POINT (24.567 40.633)
wsm00294,24.583,40.625,0.0,63.0,EU,B,NF,84.0,POINT (24.583 40.625)
wsm00295,25.492,40.492,0.0,38.0,EU,B,NF,84.0,POINT (25.492 40.492)
wsm00296,25.693,40.43,0.0,29.0,EU,B,NF,72.0,POINT (25.693 40.43)
wsm00297,25.675,40.425,0.0,30.0,EU,A,NF,87.0,POINT (25.675 40.425)
wsm00298,25.683,40.495,0.0,33.0,EU,C,NF,79.0,POINT (25.683 40.495)
wsm00300,25.527,40.477,0.0,37.0,EU,C,NF,67.0,POINT (25.527 40.477)
wsm00301,25.545,40.43,0.0,32.0,EU,C,NF,84.0,POINT (25.545 40.43)
wsm00325,25.528,40.433,0.0,32.0,EU,B,NF,83.0,POINT (25.528 40.433)
wsm00404,5.852,50.893,20.5,1378.0,EU,C,NF,132.0,POINT (5.852 50.893)
wsm00408,5.97,51.06,13.0,1393.0,EU,C,NF,141.0,POINT (5.97 51.06)
wsm00409,5.903,51.003,5.9,1389.0,EU,C,NF,137.0,POINT (5.903 51.003)
wsm00411,5.84,51.2,5.0,1411.0,EU,C,SS,70.0,POINT (5.84 51.2)
wsm00507,22.028,40.033,0.0,148.0,EU,B,NF,72.0,POINT (22.028 40.033)
wsm00508,22.203,40.04,0.0,137.0,EU,B,NF,83.0,POINT (22.203 40.04)
